dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,drye1,refrigerator1,range1,oven1
914,2019-06-13 03:45:00-05,,0.002,,,0.001,,0.0,0.003
950,2019-06-13 01:45:00-05,0.0,0.001,0.088,,0.001,0.124,0.002,0.003
950,2019-06-13 01:30:00-05,0.0,0.001,0.088,,0.001,0.141,0.002,0.004
142,2019-06-13 12:45:00-05,,,,0.001,,0.01,,0.0
142,2019-06-13 12:30:00-05,,,,0.0,,0.108,,0.0
142,2019-06-13 12:15:00-05,,,,0.0,,0.031,,0.0
5982,2019-06-12 19:45:00-05,,0.001,,0.0,0.0,0.021,,
5982,2019-06-12 19:30:00-05,,0.001,,0.0,0.0,0.022,,
5982,2019-06-12 19:15:00-05,,0.001,,0.0,0.0,0.096,,
5982,2019-06-12 19:00:00-05,,0.001,,0.0,0.0,0.127,,
3996,2019-06-12 19:45:00-05,,0.0,0.007,0.521,0.0,0.102,,
3996,2019-06-12 19:30:00-05,,0.0,0.006,0.025,0.0,0.09,,
3996,2019-06-12 19:15:00-05,,0.0,0.006,0.0,0.0,0.085,,
3996,2019-06-12 19:00:00-05,,0.0,0.006,0.0,0.0,0.025,,
9053,2019-06-12 19:45:00-05,,0.0,,0.919,0.26,0.16,1.844,
9053,2019-06-12 19:30:00-05,,0.0,,0.686,0.668,0.048,1.357,
9053,2019-06-12 19:15:00-05,,0.0,,0.109,1.385,0.005,1.966,
9053,2019-06-12 19:00:00-05,,0.0,,0.0,1.496,0.003,1.622,
5997,2019-06-12 19:45:00-05,,0.0,,0.0,-0.001,,,
5997,2019-06-12 19:30:00-05,,0.0,,0.0,-0.001,,,
5997,2019-06-12 19:15:00-05,,0.0,,0.0,0.162,,,
5997,2019-06-12 19:00:00-05,,0.0,,0.0,1.809,,,
914,2019-06-12 19:45:00-05,,0.002,,,0.001,,0.0,0.003
558,2019-06-12 19:45:00-05,0.081,0.001,0.005,,0.001,,1.982,
558,2019-06-12 19:30:00-05,0.081,0.002,0.005,,0.001,,0.005,
558,2019-06-12 19:15:00-05,0.081,0.001,0.005,,0.001,,0.005,
